Year,US_foreign,US_JV,atSea_US_MS,atSea_US_CP,US_shore,USresearch,Ustotal,CAN_forgn,CAN_JV,CAN_Shoreside,CAN_FreezeTrawl,CANtotal,TOTAL,TACUSA,TACCAN,TAC
1966,137000,0,0,0,0,0,137000,700,0,0,0,700,137700,,,
1967,168700,0,0,0,8960,0,177660,36710,0,0,0,36710,214370,,,
1968,60660,0,0,0,160,0,60820,61360,0,0,0,61360,122180,,,
1969,86190,0,0,0,90,0,86280,93850,0,0,0,93850,180130,,,
1970,159510,0,0,0,70,0,159580,75010,0,0,0,75010,234590,,,
1971,126490,0,0,0,1430,0,127920,26700,0,0,0,26700,154620,,,
1972,74090,0,0,0,40,0,74130,43410,0,0,0,43410,117540,,,
1973,147440,0,0,0,70,0,147510,15130,0,0,0,15130,162640,,,
1974,194110,0,0,0,0,0,194110,17150,0,0,0,17150,211260,,,
1975,205650,0,0,0,0,0,205650,15700,0,0,0,15700,221350,,,
1976,231330,0,0,0,220,0,231550,5970,0,0,0,5970,237520,,,
1977,127010,0,0,0,490,0,127500,5190,0,0,0,5190,132690,,,
1978,96827.431,860,0,0,690,0,98377,3450,1810,0,0,5260,103637.431,130000,,
1979,114910,8830,0,0,940,0,124680,7900,4230,300,0,12430,137110,198900,35000,
1980,44022.879,27537.036,0,0,790,0,72350,5270,12210,100,0,17580,89929.915,175000,35000,
1981,70364.65056,43556.51998,0,0,838.47957,0,114760,3920,17160,3280,0,24360,139119.6501,175000,35000,
1982,7089.39046,67464.90015,0,0,1022.80226,0,75577,12480,19680,0,0,32160,107737.0929,175000,35000,
1983,0,72100.22045,0,0,1050.79616,0,73151,13120,27660,0,0,40780,113931.0166,175000,45000,
1984,14772.34988,78889.06969,0,0,2720.67561,0,96382,13200,28910,0,0,42110,138492.0952,175000,45000,270000
1985,49853.24004,31691.92058,0,0,3894.02109,0,85439,10530,13240,1190,0,24960,110399.1817,175000,50000,212000
1986,69861.02959,81639.5202,0,0,3431.94361,0,154932,23740,30140,1770,0,55650,210582.4934,295800,75000,405000
1987,49655.70935,105996.6203,0,0,4795.3037,0,160448,21450,48080,4170,0,73700,234147.6334,195000,75000,264000
1988,18040.97987,135781.1791,0,0,6867.42477,0,160690,38080,49240,830,0,88150,248839.5837,232000,98000,327000
1989,0,195635.9001,0,0,7413.59444,0,203049,29750,62717.62,2562,0,95029.47362,298078.9682,225000,98000,323000
1990,0,170972.4303,0,4537.006718,9632.37371,0,185142,3810,68313.51,4021,0,76144.25068,261286.0614,196000,73500,245000
1991,0,0,86408.03695,119410.6691,23969.99582,0,229789,5610,68132.52,16174,0,89916.703,319705.4049,228000,98000,253000
1992,0,0,36720.7401,117980.7282,56127.24911,0,210829,0,68778.624,20043,0,88821.5,299650.2174,208800,90000,232000
1993,0,0,14558.47883,83465.65773,42107.86198,0,140132,0,46421.509,12352,0,58773.021,198905.0195,142000,61000,178000
1994,0,0,93609.52866,86251.20862,73616.26769,0,253477,0,85153.949,23776,0,108929.756,362406.761,260000,110000,325000
1995,0,0,40804.92274,61357.0194,74961.94926,0,177124,0,26190.761,46181,0,72371.558,249495.4494,178400,76500,223000
1996,0,0,62097.94774,65933.45994,85127.75261,0,213159,0,66778.981,26360,0,93139.35189,306298.5122,212000,91000,265000
1997,0,0,75127.70582,70832.24411,87416.09891,0,233376,0,42544.097,49227,0,91770.79521,325146.8441,232000,99400,290000
1998,0,0,74686.49565,70377.46922,87856.11345,0,232920,0,39728.47,48074,0,87802.20341,320722.2817,232000,80000,290000
1999,0,0,73439.92141,67654.94531,83470.29057,0,224565,0,17200.663,70121,0,87321.57447,311886.7318,232000,90300,290000
2000,0,0,53110.31272,67805.45036,85853.81566,0,206770,0,15625.196,6382,0,22007.26732,228776.8461,232000,90300,290000
2001,0,0,41900.81491,58627.61663,73411.64448,0,173940,0,21650.118,31935,0,53585.15358,227525.2296,190400,81600,238000
2002,0,0,48403.74751,36341.56246,45707.66036,0,130453,0,0,50244,0,50244.41704,180697.3874,129600,,162000
2003,0,0,45395.8006,41214.38445,55334.9997,0,141945,0,0,63217,0,63217.23147,205162.4162,148200,,228000
2004,0,0,47561.24366,73175.55232,96503.40741,0,217240,0,58891.967,66175,0,125067.005,342307.2083,250000,,514441
2005,0,0,72178.04843,78889.96062,109052.2377,0,260120,0,15694.557,77335,9985,103014.3661,363134.6129,269068.7436,95128.2564,364197
2006,0,0,60926.21576,78863.939,127164.9993,0.0499,266955,0,14318.643,65289,15136,94743.7896,361698.9936,269545.2696,95296.7304,364842
2007,0,0,52976.90891,73263.4394,91441.21416,0.00454,217682,0,6780.39,52624,14122,73525.64,291207.207,242590.8904,85767.1096,328358
2008,0,0,72439.75282,108195.1449,67860.9232,0,248496,0,3592.282,57799,13185,74576.143,323071.9639,269545.2696,95296.7304,364842
2009,0,0,37549.81829,34551.92087,49222.32983,0,121324,0,0,44136,13223,57359.145,178683.214,135939.2,48060.8,184000
2010,0,0,52022.30018,54284.43867,64736.30978,0,171043,0,8081.45,35362,13573,57016.24,228059.2886,193935,68565,262500
2011,0,0,56394.48868,71678.21579,102146.1167,1042.31626,231261,0,9716.611,31760,14596,56072.772,287333.9094,290903.2388,102847.7612,393751
2012,0,0,38512.35631,55263.84185,65919.47195,448.47494,160144,0,0,32147,14912,47059.22,207203.3651,186036.4892,65772.5108,251809
2013,0,0,52470.43192,77949.5153,102140.5543,1017.96697,233578,0,0,33665,18584,52249.079,285827.5475,269744.7456,95367.2544,365112
2014,0,0,62102,103203,98640,197,264141,0,0,13326,21792,35118.221,299259.4918,316206.4,111793.6,428000
2015,0,0,27665,68484,58011,0,154160,0,0,16775,22909,39683.992,193843.9106,325072,114928,440000
2016,0,0,65036,108786,87760,745,262327,0,0,35012,34731,69743,332070.1077,367553,129947,497500
2017,0,0,66428,136960.0168,150741,0,354129,0,5607.516,43427,37686,86720.74,440849.74,441433,156067,597500
2018,0,0,67121,116072.9859,135112,0,318306,0,2723.713,50747,41942,95412.867,413718.6647,441433,156067,597500
2019,0,0,52646,116146,148210,0,317002,0,0,40794,54218,95012,412014.3507,441433,156067,597500
2020,0,0,37978,111147,138688,95,287908,0,0,30085,62404,92489,380397.1385,424810,104480,529290
2021,0,0,35208,104030,129319,917,269473,0,0,11269,45807,57076,326549.1163,369400,104480,473880
2022,0,0,59516,126247.0312,105939,0,291702,0,0,3868,27803,31671,323373,402646,142354,545000
2023,0,0,32911,107117,100396,0,240424,0,0,3657,19901,23558,263982,461750,163250,625000
