year,US,Can,Total,Usperc,Canperc
1966,137000,700,137700,99.49,0.51
1967,177660,36710,214370,82.88,17.12
1968,60820,61360,122180,49.78,50.22
1969,86280,93850,180130,47.9,52.1
1970,159580,75010,234590,68.03,31.97
1971,127920,26700,154620,82.73,17.27
1972,74130,43410,117540,63.07,36.93
1973,147510,15130,162640,90.7,9.3
1974,194110,17150,211260,91.88,8.12
1975,205650,15700,221350,92.91,7.09
1976,231550,5970,237520,97.49,2.51
1977,127500,5190,132690,96.09,3.91
1978,98377,5260,103637,94.92,5.08
1979,124680,12430,137110,90.93,9.07
1980,72350,17580,89930,80.45,19.55
1981,114760,24360,139120,82.49,17.51
1982,75581,32160,107741,70.15,29.85
1983,73151,40780,113931,64.21,35.79
1984,96382,42110,138492,69.59,30.41
1985,85439,24960,110399,77.39,22.61
1986,154966,55650,210616,73.58,26.42
1987,160448,73700,234148,68.52,31.48
1988,160690,88150,248840,64.58,35.42
1989,203050,95029,298079,68.12,31.88
1990,185142,76144,261286,70.86,29.14
1991,229789,89917,319705,71.88,28.12
1992,210829,88822,299650,70.36,29.64
1993,140132,58773,198905,70.45,29.55
1994,253477,108930,362407,69.94,30.06
1995,177124,72372,249495,70.99,29.01
1996,213159,93139,306299,69.59,30.41
1997,233376,91771,325147,71.78,28.22
1998,232920,87802,320722,72.62,27.38
1999,224565,87322,311887,72,28
2000,206770,22007,228777,90.38,9.62
2001,173940,53585,227525,76.45,23.55
2002,130453,50244,180697,72.19,27.81
2003,141945,63217,205162,69.19,30.81
2004,217240,125067,342307,63.46,36.54
2005,260120,103014,363135,71.63,28.37
2006,266955,94744,361699,73.81,26.19
2007,217682,68976,286658,75.94,24.06
2008,248496,70251,318746,77.96,22.04
2009,121324,57359,178683,67.9,32.1
2010,171043,53072,224115,76.32,23.68
2011,231261,51137,282398,81.89,18.11
2012,160144,46627,206771,77.45,22.55
2013,233558,52249,285807,81.72,18.28
2014,264141,35118,299259,88.27,11.73
2015,154160,39684,193844,79.53,20.47
2016,262327,69743,332070,79,21
2017,354129,86721,440850,80.33,19.67
2018,318306,95413,413719,76.94,23.06
2019,317002,95013,412015,76.94,23.06
2020,287908,92489,380397,75.69,24.31
2021,269473,57076,326549,82.52,17.48
2022,291702,31671,323373,90.21,9.79
2023,240424,23557,263981,91.08,8.92
