year,US,Can,Total,Usperc,Canperc
1966,137000,700,137700,99.5,0.5
1967,177660,36710,214370,82.9,17.1
1968,60820,61360,122180,49.8,50.2
1969,86280,93850,180130,47.9,52.1
1970,159580,75010,234590,68,32
1971,127920,26700,154620,82.7,17.3
1972,74130,43410,117540,63.1,36.9
1973,147510,15130,162640,90.7,9.3
1974,194110,17150,211260,91.9,8.1
1975,205650,15700,221350,92.9,7.1
1976,231550,5970,237520,97.5,2.5
1977,127500,5190,132690,96.1,3.9
1978,98377,5260,103637,94.9,5.1
1979,124680,12430,137110,90.9,9.1
1980,72350,17580,89930,80.5,19.5
1981,114760,24360,139120,82.5,17.5
1982,75581,32160,107741,70.2,29.8
1983,73151,40780,113931,64.2,35.8
1984,96382,42110,138492,69.6,30.4
1985,85439,24960,110399,77.4,22.6
1986,154966,55650,210616,73.6,26.4
1987,160448,73700,234148,68.5,31.5
1988,160690,88150,248840,64.6,35.4
1989,203050,95029,298079,68.1,31.9
1990,185142,76144,261286,70.9,29.1
1991,229789,89917,319705,71.9,28.1
1992,210829,88822,299650,70.4,29.6
1993,140132,58773,198905,70.5,29.5
1994,253477,108930,362407,69.9,30.1
1995,177124,72372,249495,71,29
1996,213159,93139,306299,69.6,30.4
1997,233376,91771,325147,71.8,28.2
1998,232920,87802,320722,72.6,27.4
1999,224565,87322,311887,72,28
2000,206770,22007,228777,90.4,9.6
2001,173940,53585,227525,76.4,23.6
2002,130453,50244,180697,72.2,27.8
2003,141945,63217,205162,69.2,30.8
2004,217240,125067,342307,63.5,36.5
2005,260120,103014,363135,71.6,28.4
2006,266955,94744,361699,73.8,26.2
2007,217682,68976,286658,75.9,24.1
2008,248496,70251,318746,78,22
2009,121324,57359,178683,67.9,32.1
2010,171043,53072,224115,76.3,23.7
2011,231261,51137,282398,81.9,18.1
2012,160144,46627,206771,77.5,22.5
2013,233558,52249,285807,81.7,18.3
2014,264141,35113,299254,88.3,11.7
2015,154156,39678,193834,79.5,20.5
2016,262590,69740,332330,79.0,21.0
2017,354231,86713,440944,80.3,19.7
2018,315031,95412,410443,76.8,23.2
2019,317002,95013,412015,76.9,23.1
2020,287908,92489,380397,75.7,24.3
2021,269473,57076,326549,82.5,17.5

